Name,Start,End,total,Mid
Gorm den Gamle,936,958,22,947
Harald 1. Blåtand,958,987,29,"972,5"
Svend 1. tveskæg,987,1014,27,"1000,5"
Harald 2.,1014,1018,4,1016
Knude 1. Den store,1018,1035,17,"1026,5"
Hardeknud ,1035,1042,7,"1038,5"
Magnus den gode,1042,1047,5,"1044,5"
Svend 2 estridsen,1047,1074,27,"1060,5"
Harald 3 ,1074,1080,6,1077
Knude 2.,1080,1086,6,1083
Oluf 1.,1086,1095,9,"1090,5"
Erik 1.,1095,1103,8,1099
_niels,1103,1134,31,"1118,5"
erik 2.,1134,1137,3,"1135,5"
Erik 3.,1137,1146,9,"1141,5"
Svend 3.,1146,1157,11,"1151,5"
Valdemar 1.,1157,1182,25,"1169,5"
Knud 4,1182,1202,20,1192
Valdemar 2,1202,1241,39,"1221,5"
Erik 4 ,1241,1250,9,"1245,5"
Abel,1250,1252,2,1251
Christoffer 1,1252,1259,7,"1255,5"
Erik 5,1259,1286,27,"1272,5"
Erik 6,1286,1319,33,"1302,5"
Christoffer 2,1319,1326,7,"1322,5"
Valdemar 3,1326,1332,6,1329
Christoffer 2,1329,1332,3,"1330,5"
Valdemar 4,1340,1375,35,"1357,5"
Oluf 2,1375,1387,12,1381
Margrete 1,1387,1396,9,"1391,5"
Erik 7,1396,1439,43,"1417,5"
Christoffer 3,1439,1448,9,"1443,5"
Christian 1,1448,1481,33,"1464,5"
Hans,1481,1513,32,1497
Christian 2,1513,1523,10,1518
Frederik 1,1523,1553,30,1538
Christian 3,1536,1559,23,"1547,5"
Frederik 2,1559,1588,29,"1573,5"
Christian 4,1588,1648,60,1618
Frederik 3,1648,1670,22,1659
Christian 5,1670,1699,29,"1684,5"
Frederik 4,1699,1730,31,"1714,5"
Christian 6,1730,1746,16,1738
Frederik 5,1746,1766,20,1756
Christian 7,1766,1808,42,1787
Frederik 6,1808,1839,31,"1823,5"
Christian 8,1839,1848,9,"1843,5"
Frederik 7,1848,1863,15,"1855,5"
Christian 9,1863,1906,43,"1884,5"
Frederik 8,1906,1912,6,1909
Christian 10,1912,1947,35,"1929,5"
Frederik 9,1947,1972,25,"1959,5"
Magrete 2.,1972,NA,NA,NA
